year,player,conference,athlete_id,position,passing_completions,passing_att,passing_pct,passing_yds,passing_td,passing_int,passing_ypa,rushing_car,rushing_yds,rushing_td,rushing_ypc,rushing_long,dual_threat,team,total_wins,qb_type,off_explosiveness,off_success_rate,off_pts_per_opp,passing_qbr,predicted_qbr,fpi,recruiting_points,avg_temp,avg_humidity,avg_wind,avg_pressure,pct_indoors
2014,Bryce Petty,Big 12,480746,QB,270,428,0.631,3855,29,7,9,84,101,6,1.2,21,Dual Threat,Baylor,11,Pocket Passer,1.218741447525872,0.49230769230769234,4.0085470085470085,63.69,69.39242817362653,23.9,218.13,67.26666666666667,59.25,9.375,1017.925,0.08333333333333333
2014,C.J. Brown,Big Ten,480846,QB,189,354,0.534,2288,13,10,6.5,161,539,8,3.3,75,Not Dual Threat,Maryland,7,Pure Runner,1.1786996467433513,0.3937677053824363,3.602941176470588,41.42,44.50707908691327,5.8,190.98,62.775,60.833333333333336,8.425,1017.075,0.08333333333333333
2014,Trevor Siemian,Big Ten,500419,QB,228,392,0.582,2214,7,11,5.6,68,-123,5,-1.8,16,Not Dual Threat,Northwestern,5,Other,1.0776944669545674,0.4029511918274688,2.9220779220779223,39.71666666666667,38.43587705780029,1.8,182.68,53.59166666666667,60.25,10.275,1018.4666666666667,0
2014,Bo Wallace,SEC,500990,QB,229,381,0.601,3194,22,14,8.4,121,199,5,1.6,59,Dual Threat,Ole Miss,9,Pocket Passer,1.3568422982795108,0.4100719424460432,2.9240506329113924,48.689473684210526,49.99737078999289,20.5,241.12,64.89090909090909,63.09090909090909,7.2727272727272725,1015.625,0
2014,Anthony Boone,ACC,501046,QB,255,453,0.563,2700,19,8,6,94,375,5,4,30,Dual Threat,Duke,9,Other,1.06108965447183,0.4410430839002268,3.3522727272727275,53.28947368421053,55.64555141371834,7.7,166.35,64.725,60.75,7.233333333333333,1017.9583333333334,0.08333333333333333
2014,Clint Trickett,Big 12,501098,QB,281,419,0.671,3285,18,10,7.8,42,-106,1,-2.5,14,Not Dual Threat,West Virginia,7,Pocket Passer,1.1572953261145251,0.4393226716839135,3.19,54.55714285714286,55.17107808004242,12.1,194.85,61.4,61.166666666666664,7,1015.0083333333333,0
2014,Devin Gardner,Big Ten,501543,QB,174,283,0.615,1896,10,15,6.7,98,258,4,2.6,25,Not Dual Threat,Michigan,5,Other,1.1208220173724184,0.4273255813953488,2.9577464788732395,47.757894736842104,45.799396850674945,7.2,233.54,58.916666666666664,53.5,11.508333333333333,1016.5333333333333,0
2014,Tyler Murphy,ACC,503970,QB,131,230,0.57,1623,13,10,7.1,181,1184,11,6.5,71,Not Dual Threat,Boston College,7,Pure Runner,1.2860250651115728,0.4155092592592592,3.1707317073170733,64.62631578947368,58.79622299016297,6,177.12,62.49166666666667,62.916666666666664,7.608333333333333,1017.6083333333333,0
2014,Hutson Mason,SEC,504004,QB,188,277,0.679,2168,21,4,7.8,43,3,4,0.1,12,Not Dual Threat,Georgia,10,Other,1.2476588984977592,0.48751642575558474,4.418367346938775,64.4,66.27875071591073,24.3,273.39,63.375,50.5,9.7,1020.0909090909091,0
2014,Blake Sims,SEC,504052,QB,252,391,0.645,3487,28,10,8.9,83,350,7,4.2,43,Dual Threat,Alabama,12,Pocket Passer,1.1890774876057764,0.5155412647374062,4.196078431372549,72.87391304347825,73.56542451714822,26.8,319.71,70.60833333333333,56.75,6.566666666666666,1018.5454545454545,0
2014,Dylan Thompson,SEC,504295,QB,270,451,0.599,3564,26,11,7.9,67,-72,4,-1.1,20,Not Dual Threat,South Carolina,7,Pocket Passer,1.2184102892193789,0.4695187165775402,3.885057471264368,59.805,56.54376546213239,11.4,239.33,70.78333333333333,48.333333333333336,5.758333333333333,1018,0
2014,Jeff Driskel,SEC,511889,QB,114,212,0.538,1140,9,10,5.4,69,180,4,2.6,18,Not Dual Threat,Florida,7,Other,1.117852066488706,0.38070404172099087,3.392405063291139,41.16923076923077,38.635737654798795,15.7,267.4,68.95454545454545,58,7.0636363636363635,1017.7818181818182,0
2014,Sam B. Richardson,Big 12,511969,QB,254,451,0.563,2669,18,9,5.9,125,421,3,3.4,47,Not Dual Threat,Iowa State,2,Pure Runner,1.204494984724263,0.41379310344827586,3.4788732394366195,50.155,45.0935512239974,-3.9,171.65,59.266666666666666,57.166666666666664,8.266666666666667,1019.3666666666667,0
2014,Cole Stoudt,ACC,512052,QB,191,302,0.632,1892,9,10,6.3,69,93,1,1.3,18,Not Dual Threat,Clemson,10,Other,1.0983837969451515,0.4199772985244041,3.276595744680851,25.845,46.984211008497944,16.5,240.73,68.81666666666666,49.083333333333336,7.708333333333333,1016.725,0
2014,Jacoby Brissett,ACC,512191,QB,221,370,0.597,2606,23,5,7,124,529,3,4.3,60,Not Dual Threat,NC State,8,Pure Runner,1.1155910260834023,0.4908136482939632,3.944444444444444,54.88333333333333,59.27720012518305,3.9,201.31,67.75,49.833333333333336,9.058333333333334,1018.3333333333334,0.08333333333333333
2014,Justin Worley,SEC,512424,QB,157,252,0.623,1579,12,8,6.3,45,-105,3,-2.3,14,Not Dual Threat,Tennessee,7,Other,1.133072353427525,0.43207126948775054,3.4081632653061225,40.418181818181814,43.28708639795422,12.3,274.77,61.733333333333334,62.166666666666664,7.016666666666667,1019.08,0
2014,Connor Cook,Big Ten,512705,QB,212,365,0.581,3214,24,8,8.8,51,80,2,1.6,13,Not Dual Threat,Michigan State,11,Pocket Passer,1.2521919022211017,0.4952941176470588,4.336283185840708,68.75263157894737,70.9992808474322,23.1,217.62,55.61666666666667,59.833333333333336,8.683333333333334,1016.225,0
