"","game_id","school","conference","home_away","opponent","opponent_conference","points","total_yards","net_passing_yards","completion_attempts","passing_tds","yards_per_pass","passes_intercepted","interception_yards","interception_tds","rushing_attempts","rushing_yards","rush_tds","yards_per_rush_attempt","first_downs","third_down_eff","fourth_down_eff","punt_returns","punt_return_yards","punt_return_tds","kick_return_yards","kick_return_tds","kick_returns","kicking_points","fumbles_recovered","fumbles_lost","total_fumbles","tackles","tackles_for_loss","sacks","qb_hurries","interceptions","passes_deflected","turnovers","defensive_tds","total_penalties_yards","possession_time","points_allowed","total_yards_allowed","net_passing_yards_allowed","completion_attempts_allowed","passing_tds_allowed","yards_per_pass_allowed","passes_intercepted_allowed","interception_yards_allowed","interception_tds_allowed","rushing_attempts_allowed","rushing_yards_allowed","rush_tds_allowed","yards_per_rush_attempt_allowed","first_downs_allowed","third_down_eff_allowed","fourth_down_eff_allowed","punt_returns_allowed","punt_return_yards_allowed","punt_return_tds_allowed","kick_return_yards_allowed","kick_return_tds_allowed","kick_returns_allowed","kicking_points_allowed","fumbles_recovered_allowed","fumbles_lost_allowed","total_fumbles_allowed","tackles_allowed","tackles_for_loss_allowed","sacks_allowed","qb_hurries_allowed","interceptions_allowed","passes_deflected_allowed","turnovers_allowed","defensive_tds_allowed","total_penalties_yards_allowed","possession_time_allowed","season","champion"
"404",401752711,"Ole Miss","SEC","home","Tulane","American Athletic",45,"548","307","17-27","2","11.4","1","0","0","42","241","3","5.7","23","7-11","0-0","3","29","0","23","0","1","13","0","1","1","27","5","0","17","0","4","1","0","3-35","27:31",10,"282","104","10-29","1","3.6",NA,NA,NA,"39","178","0","4.6","18","6-15","0-3","1","12","0","20","0","1","4","1","0","1","42","4","1","3","1","5","1","0","4-30","32:29",2025,FALSE
"405",401752672,"Ole Miss","SEC","home","Georgia State","Sun Belt",63,"695","400","24-37","4","10.8","1","1","0","44","295","4","6.7","33","8-13","1-1","5","67","0",NA,NA,NA,"13","0","0","1","30","5","1","6","2","5","2","0","8-51","28:36",7,"260","69","12-25","1","2.8","2","25","0","35","191","0","5.5","10","2-15","2-4",NA,NA,NA,"39","0","2","1",NA,"0",NA,"46","6","2","4","1","4","1","0","8-60","31:24",2025,FALSE
"406",401752788,"Ole Miss","SEC","away","Mississippi State","SEC",38,"545","359","23-34","4","10.6","1","0","0","41","186","1","4.5","29","5-12","1-2",NA,NA,NA,"19","0","1","8",NA,"0",NA,"30","5","3","7","0","2","0","0","5-50","31:23",19,"440","178","15-31","0","5.7",NA,NA,NA,"43","262","2","6.1","22","9-17","0-2",NA,NA,NA,"0","0","1","7","0","0","2","29","0","0","2","1","1","1","0","6-67","28:37",2025,FALSE
"407",401752769,"Ole Miss","SEC","home","Florida","SEC",34,"538","301","26-35","1","8.6","1","12","0","48","237","3","4.9","27","6-16","5-7","1","3","0","10","0","1","10","0","0","1","33","3","1","5","1","5","1","0","4-32","37:57",24,"326","218","16-32","1","6.8","1","25","0","25","108","2","4.3","14","6-13","0-2",NA,NA,NA,"0","0","1","6","0","0","1","49","7","5","2","1","0","1","0","5-35","22:03",2025,FALSE
"408",401752733,"Ole Miss","SEC","home","Washington State","Pac-12",24,"439","253","20-29","2","8.7",NA,NA,NA,"41","186","1","4.5","25","7-15","1-2",NA,NA,NA,NA,NA,NA,"6","0","1","1","35","6","4","5","0","2","1","0","8-99","27:18",21,"345","218","24-31","2","7.0",NA,NA,NA,"28","127","1","4.5","21","2-10","1-1","1","4","0",NA,NA,NA,"3","1","0","2","34","6","3","0","0","2","0","0","8-70","32:42",2025,FALSE
"409",401752719,"Ole Miss","SEC","home","LSU","SEC",24,"484","314","23-39","1","8.1","1","0","0","42","170","2","4.0","28","8-16","2-2","2","17","0","9","0","1","6","0","1","1","29","3","1","7","1","3","2","0","14-109","32:22",19,"256","197","21-34","1","5.8","1","31","0","21","59","1","2.8","16","2-11","2-2","1","12","0","55","0","3","7","1","0","0","42","5","0","6","1","4","1","0","7-78","27:38",2025,FALSE
"410",401752742,"Ole Miss","SEC","away","Georgia","SEC",35,"351","263","19-36","1","7.3",NA,NA,NA,"24","88","4","3.7","21","5-9","1-2",NA,NA,NA,"15","0","1","5","0","0","1","53","3","1","0","0","1","0","0","4-40","22:21",43,"510","289","26-31","4","9.3",NA,NA,NA,"49","221","1","4.5","34","6-11","1-1",NA,NA,NA,NA,NA,NA,"13","0","0","1","29","0","0","0","0","5","0","0","3-37","37:39",2025,FALSE
"411",401752761,"Ole Miss","SEC","home","The Citadel","Southern",49,"603","452","37-46","3","9.8",NA,NA,NA,"35","151","4","4.3","35","7-12","1-3","2","-7","0","5","0","1","7","0","0","1","26","13","2","2","1","3","1","0","3-24","27:56",0,"106","23","3-8","0","2.9","1","32","0","42","83","0","2.0","5","4-15","0-1","2","-1","0",NA,NA,NA,"0",NA,"0",NA,"46","5","3","0","0","3","0","0","5-52","32:04",2025,FALSE
"412",401752686,"Ole Miss","SEC","away","Kentucky","SEC",30,"457","235","13-24","0","9.8",NA,NA,NA,"47","222","3","4.7","20","3-13","1-1","1","4","0",NA,NA,NA,"12",NA,"0",NA,"38","4","3","3","2","6","2","0","7-86","27:47",23,"359","187","16-33","0","5.7","2","25","0","37","172","2","4.6","18","5-16","1-3",NA,NA,NA,NA,NA,NA,"11",NA,"0",NA,"39","5","0","1","0","3","0","0","6-50","32:13",2025,FALSE
"413",401752700,"Ole Miss","SEC","home","Arkansas","SEC",41,"475","357","22-30","2","11.9",NA,NA,NA,"40","118","3","3.0","25","8-12","0-0",NA,NA,NA,NA,NA,NA,"11","1","0","0","38","2","0","5","0","6","0","0","7-63","26:49",35,"526","305","22-35","1","8.7",NA,NA,NA,"37","221","4","6.0","30","9-12","0-0","1","-2","0",NA,NA,NA,"5","0","1","1","41","4","1","0","0","3","1","0","7-68","33:11",2025,FALSE
"414",401752756,"Ole Miss","SEC","home","South Carolina","SEC",30,"417","159","12-21","1","7.6","2","0","0","45","258","2","5.7","19","1-11","3-4","2","6","0","69","0","2","12","1","1","1","32","8","6","8","1","1","2","0","5-60","30:46",14,"230","180","16-30","1","6.0","1","1","0","32","50","1","1.6","15","3-13","1-3","1","0","0","27","0","1","2","1","1","3","45","6","0","2","2","3","3","0","4-20","29:14",2025,FALSE
"415",401752750,"Ole Miss","SEC","away","Oklahoma","SEC",34,"431","315","24-46","1","6.8",NA,NA,NA,"41","116","2","2.8","21","9-21","2-3",NA,NA,NA,"38","0","1","14","1","0","1","29","6","3","1","0","4","0","0","6-50","35:36",26,"359","223","17-32","1","7.0",NA,NA,NA,"28","136","2","4.9","14","4-14","1-3","2","23","0",NA,NA,NA,"8","0","1","1","45","14","1","3","0","10","1","0","8-52","24:24",2025,FALSE
"416",401752707,"Texas A&M","SEC","away","Notre Dame","FBS Independents",41,"488","360","17-37","2","9.7","1","3","0","32","128","3","4.0","24","4-11","1-1",NA,NA,NA,"55","0","2","11",NA,"0",NA,"42","8","2","2","1","4","1","0","13-86","26:53",40,"429","293","20-32","1","9.2","1","0","0","39","136","3","3.5","23","7-15","2-4","3","56","1","39","0","2","10","0","0","1","33","2","0","4","1","4","1","1","5-31","33:07",2025,FALSE
"417",401752772,"Texas A&M","SEC","home","South Carolina","SEC",31,"503","439","22-39","3","11.3","1","39","0","29","64","1","2.2","23","2-11","2-2","2","42","0","31","0","2","7","0","2","2","34","10","4","2","2","3","4","0","6-60","30:16",30,"388","267","16-31","2","8.6","2","25","0","33","121","0","3.7","15","4-15","1-3",NA,NA,NA,"33","0","1","12","2","0","0","33","4","2","2","1","3","1","1","8-83","29:44",2025,FALSE
